Time_in_sec,gx,gy,gz
1322932448.36970997,-0.07777436,0.04082153,-0.99613491
1322932448.41372871,-0.07757718,0.04055060,-0.99616135
1322932448.47266006,-0.07760859,0.04053392,-0.99615958
1322932448.52065563,-0.07774336,0.04048065,-0.99615124
1322932448.57265019,-0.07784445,0.04061534,-0.99613786
1322932448.62452865,-0.07777579,0.04015489,-0.99616189
1322932448.66172457,-0.07774895,0.04033964,-0.99615652
1322932448.72065115,-0.07777906,0.04019644,-0.99615996
1322932448.77371240,-0.07760734,0.04014623,-0.99617538
1322932448.82066965,-0.07771591,0.04007578,-0.99616975
1322932448.87265110,-0.07789144,0.04006986,-0.99615628
1322932448.91369605,-0.07813192,0.04009168,-0.99613657
1322932448.97352386,-0.07804330,0.04002769,-0.99614609
1322932449.02466702,-0.07825236,0.04018091,-0.99612352
1322932449.07267737,-0.07844683,0.04026630,-0.99610477
1322932449.12156057,-0.07818516,0.04027478,-0.99612500
1322932449.16170287,-0.07811561,0.04033747,-0.99612792
1322932449.22465491,-0.07790306,0.04036808,-0.99614333
1322932449.27062273,-0.07798464,0.04047058,-0.99613279
1322932449.32065320,-0.07810986,0.04038159,-0.99612659
1322932449.37270427,-0.07810509,0.04051590,-0.99612151
1322932449.41315985,-0.07812124,0.04047109,-0.99612206
1322932449.47275996,-0.07779736,0.04039520,-0.99615049
1322932449.52481270,-0.07775391,0.04014944,-0.99616382
1322932449.57268572,-0.07771729,0.04003765,-0.99617117
1322932449.62453580,-0.07770943,0.03991011,-0.99617691
1322932449.66170692,-0.07768406,0.03983661,-0.99618183
1322932449.72070289,-0.07750803,0.04005583,-0.99618675
1322932449.77284336,-0.07748270,0.03999619,-0.99619111
1322932449.82170868,-0.07750344,0.03984006,-0.99619576
1322932449.87251949,-0.07764001,0.03987020,-0.99618392
1322932449.91361952,-0.07740943,0.04006775,-0.99619393
1322932449.97279334,-0.07747340,0.04000809,-0.99619136
1322932450.02076149,-0.07723146,0.04023045,-0.99620119
1322932450.07269382,-0.07724458,0.04021776,-0.99620069
1322932450.12100410,-0.07718294,0.04003157,-0.99621296
1322932450.16087818,-0.07724210,0.04000314,-0.99620952
1322932450.22566533,-0.07699733,0.03994787,-0.99623069
1322932450.27366853,-0.07688318,0.04012206,-0.99623250
1322932450.32070184,-0.07695704,0.04025521,-0.99622143
1322932450.37365746,-0.07720118,0.04055016,-0.99619057
1322932450.41364837,-0.07689703,0.04025604,-0.99622603
1322932450.47354984,-0.07679229,0.04025458,-0.99623417
1322932450.52160001,-0.07689078,0.04027798,-0.99622562
1322932450.57253885,-0.07689129,0.04036406,-0.99622210
1322932450.62159562,-0.07708055,0.04047298,-0.99620305
1322932450.66170406,-0.07712031,0.04045085,-0.99620088
1322932450.72166538,-0.07709379,0.04063515,-0.99619543
1322932450.77269101,-0.07703501,0.04091261,-0.99618862
1322932450.82163668,-0.07719047,0.04067245,-0.99618642
1322932450.87366223,-0.07712025,0.04072632,-0.99618966
1322932450.91365194,-0.07713791,0.04060237,-0.99619335
1322932450.97256804,-0.07708660,0.04070649,-0.99619307
1322932451.02088761,-0.07709596,0.04050761,-0.99620046
1322932451.07252455,-0.07695206,0.04048851,-0.99621236
1322932451.12154460,-0.07704587,0.04039268,-0.99620900
1322932451.16118860,-0.07717230,0.04048761,-0.99619536
1322932451.22063589,-0.07730358,0.04057603,-0.99618158
1322932451.27270389,-0.07701980,0.04043842,-0.99620916
1322932451.32564926,-0.07680088,0.04013639,-0.99623827
1322932451.37272882,-0.07665395,0.04019509,-0.99624722
1322932451.41263247,-0.07658355,0.03999349,-0.99626075
1322932451.47255993,-0.07659438,0.04002024,-0.99625884
1322932451.52078891,-0.07635565,0.04009872,-0.99627401
1322932451.57271481,-0.07619772,0.04014605,-0.99628420
1322932451.62061381,-0.07621173,0.04006102,-0.99628655
1322932451.66061378,-0.07610027,0.03995189,-0.99629945
1322932451.72069812,-0.07598495,0.04006970,-0.99630352
1322932451.77270651,-0.07596527,0.04009599,-0.99630396
1322932451.82070184,-0.07602834,0.04015304,-0.99629686
1322932451.87331557,-0.07619832,0.03982094,-0.99629720
1322932451.91364646,-0.07615906,0.03985868,-0.99629869
1322932451.97270131,-0.07614643,0.03983535,-0.99630059
1322932452.02069116,-0.07635513,0.03986190,-0.99628356
1322932452.07287025,-0.07613997,0.03977669,-0.99630343
1322932452.12308979,-0.07609899,0.04000209,-0.99629753
1322932452.16165066,-0.07593863,0.03990347,-0.99631372
1322932452.22057009,-0.07593916,0.03990555,-0.99631360
1322932452.27334547,-0.07583088,0.04000488,-0.99631786
1322932452.32057309,-0.07560742,0.04002388,-0.99633408
1322932452.37271428,-0.07568655,0.03987916,-0.99633388
1322932452.41362333,-0.07563486,0.03985427,-0.99633880
1322932452.47365046,-0.07564210,0.03990459,-0.99633624
1322932452.52070332,-0.07566806,0.03957735,-0.99634732
1322932452.57365155,-0.07582798,0.03967543,-0.99633126
1322932452.62226439,-0.07578760,0.03957429,-0.99633835
1322932452.66166377,-0.07581655,0.03968454,-0.99633177
1322932452.72065616,-0.07567899,0.03977931,-0.99633845
1322932452.77270007,-0.07558739,0.03977827,-0.99634544
1322932452.81365299,-0.07560079,0.04006347,-0.99633300
1322932452.87360859,-0.07567605,0.04023733,-0.99632028
1322932452.91366935,-0.07540710,0.04049128,-0.99633038
1322932452.97366929,-0.07522410,0.04050020,-0.99634385
1322932453.02065349,-0.07525996,0.04069886,-0.99633305
1322932453.07259297,-0.07504968,0.04093448,-0.99633926
1322932453.12164879,-0.07480358,0.04110813,-0.99635061
1322932453.16166425,-0.07484361,0.04119188,-0.99634415
1322932453.22069693,-0.07486644,0.04098848,-0.99635082
1322932453.27270412,-0.07465870,0.04117200,-0.99635884
1322932453.32059121,-0.07444891,0.04113125,-0.99637622
1322932453.37365246,-0.07445035,0.04119336,-0.99637355
1322932453.41264582,-0.07445955,0.04127766,-0.99636937
1322932453.47282052,-0.07440862,0.04135522,-0.99636996
1322932453.52074599,-0.07426868,0.04127139,-0.99638388
1322932453.57364321,-0.07445745,0.04104735,-0.99637905
1322932453.61296463,-0.07436688,0.04112634,-0.99638255
1322932453.66072750,-0.07422137,0.04110806,-0.99639416
1322932453.72103643,-0.07457712,0.04116332,-0.99636531
1322932453.77267528,-0.07454033,0.04133283,-0.99636105
1322932453.82172394,-0.07444836,0.04116752,-0.99637477
1322932453.87268686,-0.07441146,0.04108175,-0.99638106
1322932453.91349745,-0.07443630,0.04127745,-0.99637112
1322932453.97266960,-0.07447867,0.04147774,-0.99635964
1322932454.02172279,-0.07415211,0.04141052,-0.99638679
1322932454.07357144,-0.07404527,0.04145171,-0.99639302
1322932454.12164855,-0.07414230,0.04157018,-0.99638087
1322932454.16162777,-0.07398450,0.04158881,-0.99639182
1322932454.22158909,-0.07387532,0.04186744,-0.99638825
1322932454.27361417,-0.07394428,0.04169888,-0.99639021
1322932454.32156229,-0.07409054,0.04159204,-0.99638381
1322932454.37265754,-0.07425503,0.04166153,-0.99636866
1322932454.41362691,-0.07420427,0.04168525,-0.99637145
1322932454.47363424,-0.07418092,0.04183441,-0.99636694
1322932454.52164960,-0.07416761,0.04186412,-0.99636668
1322932454.57265115,-0.07395324,0.04185208,-0.99638312
1322932454.62052846,-0.07373887,0.04185764,-0.99639877
1322932454.66162252,-0.07398194,0.04177412,-0.99638426
1322932454.71360254,-0.07410410,0.04184691,-0.99637213
1322932454.77265382,-0.07387677,0.04179372,-0.99639124
1322932454.82053900,-0.07379565,0.04183491,-0.99639552
1322932454.87264681,-0.07398479,0.04204866,-0.99637250
1322932454.91360164,-0.07386305,0.04175042,-0.99639407
1322932454.97257042,-0.07387864,0.04182707,-0.99638970
1322932455.02053547,-0.07404532,0.04147745,-0.99639195
1322932455.07359433,-0.07393425,0.04139944,-0.99640344
1322932455.12156582,-0.07394833,0.04168765,-0.99639038
1322932455.16158628,-0.07377556,0.04179657,-0.99639862
1322932455.22063041,-0.07338616,0.04179844,-0.99642730
1322932455.27253866,-0.07337602,0.04146198,-0.99644210
1322932455.32052207,-0.07305505,0.04132625,-0.99647132
1322932455.37263393,-0.07305840,0.04146174,-0.99646545
1322932455.41261864,-0.07290362,0.04122918,-0.99648644
1322932455.47261572,-0.07271910,0.04111924,-0.99650446
1322932455.52156878,-0.07243843,0.04118197,-0.99652231
1322932455.57356381,-0.07236374,0.04114718,-0.99652918
1322932455.62061334,-0.07215029,0.04129623,-0.99653849
1322932455.66061831,-0.07195296,0.04114431,-0.99655904
1322932455.72061419,-0.07190538,0.04117906,-0.99656104
1322932455.77356148,-0.07172111,0.04097069,-0.99658290
1322932455.82061005,-0.07164318,0.04068698,-0.99660013
1322932455.87410045,-0.07148542,0.04064407,-0.99661321
1322932455.91459632,-0.07145755,0.04054067,-0.99661942
1322932455.97261333,-0.07145550,0.04036256,-0.99662680
1322932456.02161741,-0.07137439,0.04029639,-0.99663529
1322932456.07361102,-0.07123562,0.04040612,-0.99664077
1322932456.12055349,-0.07133771,0.04044766,-0.99663179
1322932456.16087317,-0.07111718,0.04044748,-0.99664755
1322932456.22058582,-0.07116006,0.04041469,-0.99664582
1322932456.27361751,-0.07104633,0.04014006,-0.99666504
1322932456.31360459,-0.07106208,0.04051616,-0.99664870
1322932456.37259078,-0.07097050,0.04030384,-0.99666383
1322932456.41359544,-0.07102199,0.04049477,-0.99665242
1322932456.47254682,-0.07092835,0.04027329,-0.99666806
1322932456.51355696,-0.07101817,0.04044716,-0.99665463
1322932456.57256293,-0.07116659,0.04053928,-0.99664030
1322932456.62058592,-0.07095121,0.04058785,-0.99665368
1322932456.66155052,-0.07103906,0.04054091,-0.99664933
1322932456.71255875,-0.07107879,0.04051589,-0.99664751
